indicator_id,name,unit,visual_id,document_id
ind01001,1_corporate_bonds_yield_1,percent,Fig01-01,dwr-24-01
ind01002,1_housing_credits_1,index,Fig01-01,dwr-24-01
ind01003,1_public_bonds_yield_1,percent,Fig01-01,dwr-24-01
ind01004,2_1_total_construction_total_construction_index_1,index,Fig01-02,dwr-24-01
ind01005,2_building_construction_data_commercial_non_residential_1,index,Fig01-03,dwr-24-01
ind01006,2_building_construction_data_public_non_residential_1,index,Fig01-03,dwr-24-01
ind01007,2_3_residential_construction_data_residential_construction_index_1,index,Fig01-04,dwr-24-01
ind01008,2_4_civil_engineering_data_commercial_civil_engineering_1,index,Fig01-05,dwr-24-01
ind01009,2_4_civil_engineering_data_road_construction_1,index,Fig01-05,dwr-24-01
ind01010,2_4_civil_engineering_data_public_civil_engineering_1,index,Fig01-05,dwr-24-01
ind01011,3_building_construction_stock_data_commercial_non_residential_1,index,Fig01-06,dwr-24-01
ind01012,3_building_construction_stock_data_public_non_residential_1,index,Fig01-06,dwr-24-01
ind01013,3_building_construction_stock_data_residential_building_construction_1,index,Fig01-06,dwr-24-01
ind01014,3_civil_engineering_stock_data_commercial_civil_engineering_1,index,Fig01-07,dwr-24-01
ind01015,3_civil_engineering_stock_data_road_construction_1,index,Fig01-07,dwr-24-01
ind01016,3_civil_engineering_stock_data_public_civil_engineering_1,index,Fig01-07,dwr-24-01
ind01017,3_total_construction_stock_data_total_stock_orders_1,index,Fig01-08,dwr-24-01
ind01018,3_total_construction_stock_data_civil_engineering_1,index,Fig01-08,dwr-24-01
ind01019,3_total_construction_stock_data_building_construction_1,index,Fig01-08,dwr-24-01
ind01020,4_construction_capacity_utilization_data_total_construction_1,index,Fig01-09,dwr-24-01
ind01021,4_construction_capacity_utilization_data_building_construction_1,index,Fig01-09,dwr-24-01
ind01022,4_construction_capacity_utilization_data_civil_engineering_1,index,Fig01-09,dwr-24-01
ind01023,5_new_non_residential_construction_volume_data_volume_billion_euros_1,index,Fig01-10,dwr-24-01
ind01024,5_new_non_residential_construction_volume_data_change_percent_1,index,Fig01-10,dwr-24-01
ind01025,5_new_residential_construction_volume_data_volume_billion_euros_1,index,Fig01-11,dwr-24-01
ind01026,5_new_residential_construction_volume_data_change_percent_1,index,Fig01-11,dwr-24-01
ind01027,5_non_residential_building_volume_data_volume_billion_euros_1,index,Fig01-12,dwr-24-01
ind01028,5_non_residential_building_volume_data_change_percent_1,index,Fig01-12,dwr-24-01
ind01029,5_non_residential_renovation_volume_data_volume_billion_euros_1,index,Fig01-13,dwr-24-01
ind01030,5_non_residential_renovation_volume_data_change_percent_1,index,Fig01-13,dwr-24-01
ind01031,5_residential_building_volume_data_volume_billion_euros_1,index,Fig01-14,dwr-24-01
ind01032,5_residential_building_volume_data_change_percent_1,index,Fig01-14,dwr-24-01
